COD_PRESTAZIONE,COD_ATC5,DESCRIZIONE,QUANTITA,VDS,UM,GG,UNITA_POSOLOGIA,TITOLARE_AIC
0004446062,J05AX02,LISOZIMA SPA*30CPR 500MG FL,"0000000001,500",O,g,"10,0000000000",30,SPA (SOC.PRO.ANTIBIOTICI) SpA
0002238057,J07AM01,"ANATETALL*IM 10F 0,5ML","0000000001,000",P,f,"10,0000000000",,GSK VACCINES Srl
0003671029,J07AM51,"DIFTETALL*INIET 1F 0,5ML","0000000001,000",P,f,"1,0000000000",,GSK VACCINES Srl
0003671094,J07AM51,"DIFTETALL*BB IM 10F 0,5ML 10D",,,,,,NOVARTIS VACCINES AND DIAG.Srl
0002866085,J01BA01,"CHEMICETINA*SCIR 60G 2,5%","0000000003,000",O,g,"0,5000000000",1,PHARMACIA & UPJOHN SpA
0002866212,J01BA,"CHEMICETINA*SCIR 60G 2,5%",,,,,1,FOURNIER PHARMA SpA
0008298022,J01CE08,DIAMINOCILLINA*FL 1200000UI+F,"0000000003,600",P,g,"0,2000000000",,ERBAMONT ITALIA N.V.
0008298046,J01CE08,DIAMINOCILLINA*FL 1200000UI+F,"0000000003,600",P,g,"0,2000000000",1,SOLVAY PHARMA SpA
0005750029,J06AA05,SIERO GANGRENA BERNA*10FL 10ML,,,,,,BERNA ISTITUTO SIEROTER. Srl
0008646135,J07BB02,INFLUPOZZI ZONALE*1F 1ML 97-98,,,,,,IVP (IST.VACCINOGENO POZZI Srl
0006340032,J04AC01,NICIZINA*FL 30CPR 200MG,"0000000000,300",O,g,"20,0000000000",30,PFIZER ITALIA Srl
0006401020,J07AJ51,"ANATOXAL DITEPER*IM 1FSIR 0,5",,,,,1,BERNA ISTITUTO SIEROTER. Srl
0006558011,J06BA01,GAMMAGLOBULINE KED*1F 320MG/2M,,,,,1,KEDRION SpA
0012934168,J07BB,"INFLUVIRUS*1FSIR 0,5ML 92-93",,,,,,NUOVO I.S.M. Srl
0012934218,J07BB,"INFLUVIRUS*1F 0,5ML 1994-95",,,,,,NUOVO I.S.M. Srl
0012010017,J01AA,SPACICLINA*8CPS 250MG,,,,,8,SPA (SOC.PRO.ANTIBIOTICI) SpA
0012153019,L02AA04,"HONVAN*IV 10F 250MG 5,2ML","0000000000,250",P,g,,10,BAXTER SpA
0009740010,J01CE08,WYCILLINA A.P.*IM 600000UI 2ML,"0000000003,600",P,g,"0,1000000000",1,PFIZER ITALIA Srl
0013370022,J07AP02,ENTEROVACCINO ISI*6CPR 200MG,,,,,,I.S.I. SpA
0010009049,J06AA02,SIERO ANTITET.SCLAVO*CAV 3000,,,,,,SCLAVO SpA
0010009052,J06AA,SIERO ANTITET.SCLAVO*CAV 10000,,,,,,SCLAVO SpA
0011297013,J01XB01,COLIMICINA*FL 1000000U4ML+F,"0000000009,000",P,MU,"0,1110000000",1,UCB PHARMA SpA
0012798029,J07AX,LIOLINF*IM F 25D,,,,,,NUOVO I.S.M. Srl
0010284014,L01AB,MISULBAN*30CONF 2MG,,,,,30,I.S.I. SpA
0016766014,L01DC03,MITOMYCIN C*IV 3FL 2MG,,,,,3,KYOWA HAKKO KIRIN ITALIA Srl
0016766038,L01DC03,MITOMYCIN C*IV 1F 20MG,"0000000003,000",P,mg,"6,6670000000",1,KYOWA HAKKO KIRIN ITALIA Srl
0019110030,J07AM01,"TETATOX*IM 10FSIR 0,5ML 40UI/0",,,,,10,BERNA BIOTECH ITALIA Srl
0020352035,L01BC02,FLUOROURACILE*20CPS 250MG,,,,,,ROCHE SpA
0020270017,J01XE02,URFADYN*20CPR 40MG,"0000000000,160",O,g,,,ZAMBON ITALIA Srl
0019924012,J01FA01,LAUROMICINA*12CPR 500MG,"0000000001,000",O,g,"6,0000000000",12,NEW RESEARCH Srl
0020297103,J07BF02,POLIORAL*OS SOSP 100FL 10D,"0000000001,000",O,UD,"1000,0000000000",,NOVARTIS VACCINES AND DIAG.Srl
0018634055,J01AA07,CALOCICLINA*16CPS 250MG,"0000000001,000",O,g,,16,I.S.I. SpA
0019373012,J06BB13,TOSUMAN BERNA*IM 1F 2ML,,,,,1,BERNA ISTITUTO SIEROTER. Srl
0020121048,J01CA01,"AMPLITAL*INIET 1F 500MG+F2,5ML","0000000006,000",P,g,"0,0830000000",1,PFIZER ITALIA Srl
0020121101,J01CA01,AMPLITAL*BB OS GTT 20ML,"0000000002,000",O,g,,1,PFIZER ITALIA Srl
0020941023,J01AA,TETRAPROTER*16CPS 250MG,,,,,,PROPHINPHARMA SpA
0020711026,J01CF04,PENSTAPHO*IM IV 1FL+F 250MG,"0000000002,000",P,g,,,BRISTOL-MYERS SQUIBB Srl
0021250028,L01AA03,ALKERAN*EV 1FL 50MG+1F 10ML,"0000000001,000",P,mg,"50,0000000000",1,ASPEN PHARMA TRADING LIMITED
0020782037,L01CA02,VINCRISTINA EG*IV FL 1MG 1ML,"0000000002,000",P,mg,"0,5000000000",1,EG SpA
0020839080,J04AK02,MIAMBUTOL*SCIR 120ML 25MG/ML,"0000000001,200",O,g,,,TEOFARMA Srl
0020846022,L01XB01,NATULAN*50CPS 50MG,"0000000000,150",O,g,"16,6670000000",50,LEADIANT GmbH
0020866075,J01CA01,AMPIPLUS SIMPLEX*3F 500MG+3F,"0000000006,000",P,g,,,A.MENARINI IND.FARM.RIUN.Srl
0020866099,J01CA01,AMPIPLUS SIMPLEX*1FL 1G+F 4ML,"0000000006,000",P,g,"0,1670000000",1,A.MENARINI IND.FARM.RIUN.Srl
0020866113,J01CA01,AMPIPLUS SIMPLEX*6FL 1G+6F 4ML,"0000000006,000",P,g,,,A.MENARINI IND.FARM.RIUN.Srl
0021110059,J04AB02,RIFADIN*SCIR 60ML 20MG/ML,"0000000000,600",O,g,"2,0000000000",1,SANOFI SpA
0021110111,J04AB02,RIFADIN*8CPR RIV 600MG,"0000000000,600",O,g,"8,0000000000",8,SANOFI SpA
0021110135,J04AB02,RIFADIN*EV 1F 600MG+F 10ML,"0000000000,600",P,g,"1,0000000000",1,SANOFI SpA
0020891038,J01GB03,GENTALYN*INIET 1F 2ML 20MG/2ML,"0000000000,240",P,g,"0,0830000000",1,MSD ITALIA Srl
0020891040,J01GB03,GENTALYN*INIET 1F 1ML 40MG/1ML,"0000000000,240",P,g,"0,1670000000",1,MSD ITALIA Srl
0021113016,J06BA01,UMANGAMMA*IM 1FL 2ML 16%,,,,,1,KEDRION SpA
0021429093,J01CR50,AMPLIUM*IM 3F 1G+3F 3ML,,,,,,SIGMATAU IND.FARM.RIUNITE SpA
0022211039,J01AA02,MIRACLIN*10CPR 100MG,"0000000000,100",O,g,"10,0000000000",10,LAB.FARMACOLOGICO MILANESE Srl
