aic,atc
000053025,A11HA03
000053037,A11HA03
000061010,H02BX
000061022,H02BX
000061034,H02BX
000061046,H02BX
000079020,A11EA
000084018,N02BB
000084020,N02BB
000084032,N02BB
000097016,A09AA02
000097028,A09AA02
000097030,A09AA
000097042,A09AA
000188033,M02AX10
000761027,A11GA01
000763019,R01AA08
000763021,R01AA08
000781029,R05CA10
000834010,A06AB20
000834022,A06AB20
000846028,R03DA
000846030,R03DA05
000846042,R03DA05
000850038,A11EA
000850040,A11EA
000850053,A11EA
000850065,A11EA
001088210,N02BA51
001088222,N02BA51
001088234,N02BA51
001113012,A06AB
001113036,A05AB
001113048,A06AB
001113051,A06AB57
001113063,A06AB57
001113075,A06AB20
001114014,A11EB
001174010,A07FA
001174022,A07FA01
001181041,J07BB
001181054,J07BB
001181066,J07BB
001181080,J07BB
001181092,J07BB
001181104,J07BB
001181116,J07BB
001181128,J07BB
001181130,J07BB
001181142,J07BB02
001195027,C01CA
001216011,G01AX
001235011,R05CA10
001240011,R05CA
001240023,R05CA
000850103,A11EA
000850115,A11EA
000850127,A11EA
000864013,A02AA04
000864025,A02AH
000872010,R01AB05
000872022,R01AB05
000872034,R01AB05
000872046,R01AB05
000872059,R01AB05
000878013,R05CA
000878025,R05CA
000878052,R05CA10
000878064,R05CA10
000903017,G01AB
000906014,A11CC05
000917017,P03AX
000976023,A11HA
001032010,B02BA
001032022,B02BA
001032034,B02BA
001032046,B02BA
001042023,N05CM09
001042035,N05CM09
001042047,N05CM09
001053014,R06AA
001053026,R06AA
001063027,M02AC
001063041,M02AC
001063054,M02AC
001063066,M02AC
001063078,M02AC
001063080,M02AC
001066012,R05CA
001066024,R05CA
001066036,R05CA09
001076013,M02AC
001088107,N02BA51
001088119,N02BA
001088121,N02BA01
001088145,N02BA
001088158,N02BA
001088160,N02BA
001088172,N02BA
001088184,N02BA51
001088196,N02BA51
001088208,N02BA51
000188045,M02AX10
000209015,R05CA10
000209027,R05CA10
000222012,0
000222024,0
000240010,S01FA
000248031,S01EB01
000248056,S01EB01
000248070,S01EB01
000248082,S01EB01
